SrNo,NameofStateUT,SanctionedStrength,WorkingStrength,Vacancies
1,Andaman and Nicobar,12,12,0
2,Andhra Pradesh,574,542,32
3,Arunachal Pradesh,32,26,6
4,Assam,430,344,86
5,Bihar,1847,1174,673
6,Chandigarh,30,30,0
7,Chhattisgarh,468,397,71
8,D & N Haveli,3,3,0
9,Daman & Diu,4,4,0
10,Delhi,758,535,223
11,Goa,50,44,6
12,Gujarat,1506,1135,371
13,Haryana,658,485,173
14,Himachal Pradesh,167,154,13
15,Jammu and Kashmir,310,233,77
16,Jharkhand,676,454,222
17,Karnataka,1307,1104,203
18,Kerala,537,465,72
19,Lakshadweep,3,3,0
20,Madhya Pradesh,2021,1524,497
21,Maharashtra,2147,1981,166
22,Manipur,55,40,15
23,Meghalaya,97,39,58
24,Mizoram,64,46,18
25,Nagaland,33,27,6
26,Odisha,917,739,178
27,Puducherry,26,11,15
28,Punjab,675,588,87
29,Rajasthan,1337,1132,205
30,Sikkim,25,19,6
31,Tamil Nadu,1174,887,287
32,Telangana,413,344,69
33,Tripura,120,88,32
34,Uttar Pradesh,3416,1989,1427
35,Uttarakhand,293,228,65
36,West Bengal,1014,931,83
Grand Total,Grand Total,23199,17757,5442
